NOMBRE_DEPARTAMENTO,NOMBRE_MUNICIPIO,NOMBRE_SERVICIO,ESTADO_DEL_VEHICULO,NOMBRE_DE_LA_CLASE,FECHA DE REGISTRO,CANTIDAD
ANTIOQUIA,ANDES,PARTICULAR,ACTIVO,CAMPERO,1900,1
ATLANTICO,BARANOA,PARTICULAR,ACTIVO,AUTOMOVIL,1900,1
ATLANTICO,BARANOA,PUBLICO,ACTIVO,CAMION,1900,1
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,AUTOMOVIL,1900,1
BOGOTA D.C.,BOGOTA,OFICIAL,ACTIVO,AUTOMOVIL,1900,1
BOLIVAR,CARTAGENA,PUBLICO,ACTIVO,AUTOMOVIL,1900,2
BOLIVAR,SANTA ROSA,PARTICULAR,ACTIVO,AUTOMOVIL,1900,1
BOYACA,COMBITA,PARTICULAR,ACTIVO,CAMPERO,1900,1
BOYACA,SOATA,PARTICULAR,ACTIVO,MOTOCICLETA,1900,1
CALDAS,CHINCHINA,PARTICULAR,ACTIVO,CAMPERO,1900,1
CALDAS,MANIZALES,PARTICULAR,ACTIVO,CAMPERO,1900,2
CALDAS,SALAMINA,OFICIAL,ACTIVO,AUTOMOVIL,1900,1
CALDAS,SALAMINA,PARTICULAR,ACTIVO,AUTOMOVIL,1900,5
CALDAS,SALAMINA,PUBLICO,ACTIVO,AUTOMOVIL,1900,2
CALDAS,SALAMINA,OFICIAL,ACTIVO,BUSETA,1900,1
CALDAS,SALAMINA,OFICIAL,ACTIVO,CAMION,1900,1
CALDAS,SALAMINA,PARTICULAR,ACTIVO,CAMION,1900,1
CALDAS,SALAMINA,PUBLICO,ACTIVO,CAMION,1900,2
CALDAS,SALAMINA,OFICIAL,ACTIVO,CAMIONETA,1900,4
CALDAS,SALAMINA,PARTICULAR,ACTIVO,CAMIONETA,1900,5
CALDAS,SALAMINA,PUBLICO,ACTIVO,CAMIONETA,1900,1
CALDAS,SALAMINA,PARTICULAR,ACTIVO,CAMPERO,1900,5
CALDAS,SALAMINA,PUBLICO,ACTIVO,CAMPERO,1900,2
CALDAS,SALAMINA,PARTICULAR,ACTIVO,MOTOCICLETA,1900,4
CALDAS,SALAMINA,PUBLICO,ACTIVO,VOLQUETA,1900,1
CALDAS,SALAMINA,PARTICULAR,ACTIVO,VOLQUETA,1900,1
CALDAS,VILLAMARIA,PARTICULAR,ACTIVO,AUTOMOVIL,1900,1
CALDAS,VILLAMARIA,PUBLICO,ACTIVO,CAMPERO,1900,1
CAQUETA,BELEN DE LOS ANDAQUIES,PARTICULAR,ACTIVO,CAMPERO,1900,1
CAUCA,POPAYAN,OFICIAL,ACTIVO,CAMION,1900,1
CAUCA,TIMBIO,PARTICULAR,ACTIVO,VOLQUETA,1900,1
CUNDINAMARCA,MADRID,PARTICULAR,ACTIVO,CAMPERO,1900,1
CUNDINAMARCA,SESQUILE,PARTICULAR,ACTIVO,MOTOCICLETA,1900,1
CUNDINAMARCA,TENJO,PARTICULAR,ACTIVO,VOLQUETA,1900,1
META,GUAMAL,PARTICULAR,ACTIVO,CAMIONETA,1900,1
META,RESTREPO,PARTICULAR,ACTIVO,AUTOMOVIL,1900,1
META,RESTREPO,PARTICULAR,ACTIVO,MOTOCICLETA,1900,1
NORTE DE SANTANDER,CUCUTA,PARTICULAR,ACTIVO,MOTOCICLETA,1900,2
NORTE DE SANTANDER,EL ZULIA,PARTICULAR,ACTIVO,CAMIONETA,1900,1
NORTE DE SANTANDER,EL ZULIA,PUBLICO,ACTIVO,CAMPERO,1900,1
NORTE DE SANTANDER,EL ZULIA,PARTICULAR,ACTIVO,MOTOCICLETA,1900,2
QUINDIO,CIRCASIA,PARTICULAR,ACTIVO,MOTOCICLETA,1900,1
SANTANDER,BARRANCABERMEJA,PARTICULAR,ACTIVO,AUTOMOVIL,1900,1
SANTANDER,BUCARAMANGA,PARTICULAR,ACTIVO,CAMIONETA,1900,1
SUCRE,SAMPUES,PARTICULAR,ACTIVO,AUTOMOVIL,1900,1
TOLIMA,IBAGUE,PUBLICO,ACTIVO,AUTOMOVIL,1900,1
TOLIMA,IBAGUE,PUBLICO,ACTIVO,MICROBUS,1900,1
VALLE DEL CAUCA,GUACARI,PUBLICO,ACTIVO,CAMPERO,1900,1
ANTIOQUIA,ENVIGADO,PARTICULAR,ACTIVO,AUTOMOVIL,1901,1
ATLANTICO,BARANOA,PARTICULAR,ACTIVO,AUTOMOVIL,1901,2
ATLANTICO,BARANOA,PARTICULAR,ACTIVO,CAMION,1901,1
ATLANTICO,BARANOA,PARTICULAR,ACTIVO,MOTOCICLETA,1901,1
BOGOTA D.C.,BOGOTA,OFICIAL,ACTIVO,BUSETA,1901,1
BOLIVAR,SANTA ROSA,PARTICULAR,ACTIVO,AUTOMOVIL,1901,2
BOLIVAR,TURBACO,PARTICULAR,ACTIVO,BUSETA,1901,1
BOLIVAR,TURBACO,PUBLICO,ACTIVO,TRACTOCAMION,1901,1
CAUCA,PATIA,OFICIAL,ACTIVO,BUSETA,1901,1
CAUCA,SANTANDER DE QUILICHAO,OFICIAL,ACTIVO,CAMIONETA,1901,1
CAUCA,TIMBIO,PARTICULAR,ACTIVO,AUTOMOVIL,1901,1
CESAR,AGUACHICA,PARTICULAR,ACTIVO,CAMPERO,1901,1
CESAR,AGUACHICA,PARTICULAR,ACTIVO,MOTOCICLETA,1901,2
CUNDINAMARCA,GIRARDOT,OFICIAL,ACTIVO,AUTOMOVIL,1901,1
CUNDINAMARCA,TENJO,PARTICULAR,ACTIVO,AUTOMOVIL,1901,1
CUNDINAMARCA,ZIPAQUIRA,PARTICULAR,ACTIVO,CAMIONETA,1901,1
HUILA,RIVERA,PARTICULAR,ACTIVO,CAMIONETA,1901,1
MAGDALENA,FUNDACION,PARTICULAR,ACTIVO,CAMION,1901,1
META,RESTREPO,OFICIAL,ACTIVO,AUTOMOVIL,1901,1
NORTE DE SANTANDER,CUCUTA,OFICIAL,ACTIVO,AUTOMOVIL,1901,67
NORTE DE SANTANDER,CUCUTA,PUBLICO,ACTIVO,AUTOMOVIL,1901,23
NORTE DE SANTANDER,CUCUTA,PARTICULAR,ACTIVO,AUTOMOVIL,1901,11
NORTE DE SANTANDER,CUCUTA,OFICIAL,ACTIVO,BUSETA,1901,43
NORTE DE SANTANDER,CUCUTA,PUBLICO,ACTIVO,BUSETA,1901,2
NORTE DE SANTANDER,CUCUTA,PARTICULAR,ACTIVO,CAMIONETA,1901,4
NORTE DE SANTANDER,CUCUTA,PUBLICO,ACTIVO,CAMIONETA,1901,2
NORTE DE SANTANDER,CUCUTA,PARTICULAR,ACTIVO,CAMPERO,1901,1
NORTE DE SANTANDER,CUCUTA,OFICIAL,ACTIVO,MICROBUS,1901,6
NORTE DE SANTANDER,CUCUTA,PUBLICO,ACTIVO,MICROBUS,1901,3
NORTE DE SANTANDER,CUCUTA,OFICIAL,ACTIVO,MOTOCICLETA,1901,5
NORTE DE SANTANDER,CUCUTA,PARTICULAR,ACTIVO,MOTOCICLETA,1901,267
PUTUMAYO,PUERTO ASIS,PARTICULAR,ACTIVO,MOTOCICLETA,1901,1
RISARALDA,PEREIRA,PARTICULAR,ACTIVO,MOTOCICLETA,1901,1
SANTANDER,BARBOSA,OFICIAL,ACTIVO,BUSETA,1901,1
SANTANDER,BARBOSA,PARTICULAR,ACTIVO,CAMIONETA,1901,1
SANTANDER,BARBOSA,OFICIAL,ACTIVO,MICROBUS,1901,1
SANTANDER,BUCARAMANGA,PARTICULAR,ACTIVO,MOTOCICLETA,1901,9
SANTANDER,FLORIDABLANCA,OFICIAL,ACTIVO,AUTOMOVIL,1901,1
SANTANDER,FLORIDABLANCA,OFICIAL,ACTIVO,CAMIONETA,1901,1
SANTANDER,FLORIDABLANCA,PARTICULAR,ACTIVO,CAMPERO,1901,1
SANTANDER,FLORIDABLANCA,PARTICULAR,ACTIVO,MOTOCICLETA,1901,1
SANTANDER,GIRON,PARTICULAR,ACTIVO,MOTOCICLETA,1901,1
SANTANDER,SOCORRO,PARTICULAR,ACTIVO,CAMIONETA,1901,1
TOLIMA,IBAGUE,PARTICULAR,ACTIVO,AUTOMOVIL,1901,1
VALLE DEL CAUCA,CALI,PARTICULAR,ACTIVO,MOTOCICLETA,1901,1
VALLE DEL CAUCA,TULUA,PARTICULAR,ACTIVO,MOTOCICLETA,1901,1
BOLIVAR,SANTA ROSA,OFICIAL,ACTIVO,CAMPERO,1902,1
CALDAS,SALAMINA,PARTICULAR,ACTIVO,MOTOCICLETA,1902,1
VALLE DEL CAUCA,ZARZAL,PARTICULAR,ACTIVO,MOTOCICLETA,1902,1
MAGDALENA,SITIONUEVO,PARTICULAR,ACTIVO,MOTOCICLETA,1903,1
NORTE DE SANTANDER,CUCUTA,PUBLICO,ACTIVO,AUTOMOVIL,1903,1
NORTE DE SANTANDER,CUCUTA,PARTICULAR,ACTIVO,AUTOMOVIL,1903,1
CALDAS,SALAMINA,PARTICULAR,ACTIVO,MOTOCICLETA,1904,1
CORDOBA,LA APARTADA,PARTICULAR,ACTIVO,MOTOCICLETA,1904,1
NORTE DE SANTANDER,CUCUTA,PUBLICO,ACTIVO,VOLQUETA,1904,1
SANTANDER,BARRANCABERMEJA,PARTICULAR,ACTIVO,MOTOCICLETA,1904,1
SANTANDER,SOCORRO,PARTICULAR,ACTIVO,MOTOCICLETA,1904,1
ANTIOQUIA,ENVIGADO,PARTICULAR,ACTIVO,AUTOMOVIL,1905,2
BOYACA,NOBSA,PARTICULAR,ACTIVO,AUTOMOVIL,1905,1
CAUCA,TIMBIO,PARTICULAR,ACTIVO,AUTOMOVIL,1905,4
CAUCA,TIMBIO,PARTICULAR,ACTIVO,CAMIONETA,1905,1
CAUCA,TIMBIO,PARTICULAR,ACTIVO,CAMPERO,1905,2
CAUCA,TIMBIO,PARTICULAR,ACTIVO,MOTOCICLETA,1905,3
HUILA,TIMANA,PARTICULAR,ACTIVO,VOLQUETA,1905,1
NORTE DE SANTANDER,CUCUTA,PARTICULAR,ACTIVO,MOTOCICLETA,1905,1
NORTE DE SANTANDER,EL ZULIA,PARTICULAR,ACTIVO,MOTOCICLETA,1905,1
SANTANDER,BARRANCABERMEJA,PARTICULAR,ACTIVO,MOTOCICLETA,1905,1
BOYACA,GUATEQUE,PUBLICO,ACTIVO,BUS,1906,1
NORTE DE SANTANDER,CUCUTA,PARTICULAR,ACTIVO,AUTOMOVIL,1906,1
NORTE DE SANTANDER,CUCUTA,PARTICULAR,ACTIVO,MOTOCICLETA,1906,1
BOYACA,GARAGOA,PARTICULAR,ACTIVO,AUTOMOVIL,1907,1
META,VILLAVICENCIO,PARTICULAR,ACTIVO,MOTOCICLETA,1907,1
RISARALDA,PEREIRA,PUBLICO,ACTIVO,AUTOMOVIL,1907,1
SANTANDER,BARRANCABERMEJA,PARTICULAR,ACTIVO,AUTOMOVIL,1907,1
SANTANDER,BARRANCABERMEJA,PARTICULAR,ACTIVO,MOTOCICLETA,1907,1
ATLANTICO,BARANOA,PARTICULAR,ACTIVO,CAMPERO,1908,1
BOLIVAR,SANTA ROSA,PUBLICO,ACTIVO,AUTOMOVIL,1908,1
CESAR,AGUACHICA,PARTICULAR,ACTIVO,MOTOCICLETA,1908,1
RISARALDA,PEREIRA,PARTICULAR,ACTIVO,CAMION,1908,1
SANTANDER,BARRANCABERMEJA,PARTICULAR,ACTIVO,CAMIONETA,1908,2
ATLANTICO,BARANOA,PARTICULAR,ACTIVO,CAMIONETA,1909,1
BOLIVAR,SANTA ROSA,OFICIAL,ACTIVO,CAMIONETA,1909,1
CALDAS,MANIZALES,PARTICULAR,ACTIVO,AUTOMOVIL,1909,1
NORTE DE SANTANDER,CUCUTA,PARTICULAR,ACTIVO,MOTOCICLETA,1909,2
QUINDIO,CIRCASIA,PARTICULAR,ACTIVO,MOTOCICLETA,1909,1
RISARALDA,PEREIRA,PARTICULAR,ACTIVO,AUTOMOVIL,1909,1
SANTANDER,BARRANCABERMEJA,PARTICULAR,ACTIVO,MOTOCICLETA,1909,1
SANTANDER,BUCARAMANGA,PUBLICO,ACTIVO,CAMION,1909,1
ATLANTICO,BARANOA,PARTICULAR,ACTIVO,MOTOCICLETA,1910,1
BOYACA,SABOYA,PARTICULAR,ACTIVO,MOTOCICLETA,1910,1
MAGDALENA,SITIONUEVO,PARTICULAR,ACTIVO,MOTOCICLETA,1910,1
NARINO,TANGUA,PUBLICO,ACTIVO,VOLQUETA,1910,1
TOLIMA,ARMERO,PARTICULAR,ACTIVO,MOTOCICLETA,1910,8
CESAR,LA PAZ,PARTICULAR,ACTIVO,AUTOMOVIL,1911,1
ATLANTICO,BARANOA,PARTICULAR,ACTIVO,CAMIONETA,1912,1
RISARALDA,PEREIRA,PARTICULAR,ACTIVO,AUTOMOVIL,1912,1
ATLANTICO,BARRANQUILLA,PARTICULAR,ACTIVO,AUTOMOVIL,1913,1
NORTE DE SANTANDER,EL ZULIA,PARTICULAR,ACTIVO,MOTOCICLETA,1914,1
ATLANTICO,BARANOA,PARTICULAR,ACTIVO,CAMION,1916,1
ATLANTICO,BARANOA,PARTICULAR,ACTIVO,AUTOMOVIL,1917,1
ATLANTICO,BARANOA,PARTICULAR,ACTIVO,AUTOMOVIL,1919,1
ATLANTICO,BARANOA,PARTICULAR,ACTIVO,CAMIONETA,1919,1
CAUCA,PUERTO TEJADA,PARTICULAR,ACTIVO,MOTOCICLETA,1919,1
CUNDINAMARCA,FUSAGASUGA,PARTICULAR,ACTIVO,CAMIONETA,1919,1
CALDAS,VILLAMARIA,PARTICULAR,ACTIVO,MOTOCICLETA,1920,3
NORTE DE SANTANDER,EL ZULIA,PARTICULAR,ACTIVO,MOTOCICLETA,1920,1
VALLE DEL CAUCA,JAMUNDI,PARTICULAR,ACTIVO,MOTOCICLETA,1920,1
CORDOBA,LA APARTADA,PARTICULAR,ACTIVO,CAMPERO,1921,1
ANTIOQUIA,SAN JERONIMO,PARTICULAR,ACTIVO,AUTOMOVIL,1922,1
BOYACA,COMBITA,PARTICULAR,ACTIVO,MOTOCICLETA,1922,1
CAUCA,PUERTO TEJADA,PARTICULAR,ACTIVO,MOTOCICLETA,1922,1
CUNDINAMARCA,TENJO,PARTICULAR,ACTIVO,MOTOCICLETA,1922,1
META,RESTREPO,PARTICULAR,ACTIVO,CAMPERO,1922,1
NORTE DE SANTANDER,EL ZULIA,PARTICULAR,ACTIVO,MOTOCICLETA,1922,2
SANTANDER,SOCORRO,PARTICULAR,ACTIVO,MOTOCICLETA,1922,1
TOLIMA,FRESNO,PARTICULAR,ACTIVO,CAMPERO,1922,1
ATLANTICO,BARANOA,PARTICULAR,ACTIVO,MOTOCICLETA,1923,1
CORDOBA,LA APARTADA,PARTICULAR,ACTIVO,AUTOMOVIL,1923,1
CUNDINAMARCA,SESQUILE,PARTICULAR,ACTIVO,AUTOMOVIL,1923,1
NORTE DE SANTANDER,CUCUTA,OFICIAL,ACTIVO,AUTOMOVIL,1923,1
ANTIOQUIA,SAN JERONIMO,PARTICULAR,ACTIVO,AUTOMOVIL,1924,1
ATLANTICO,BARANOA,PARTICULAR,ACTIVO,CAMPERO,1924,1
CAUCA,TIMBIO,PARTICULAR,ACTIVO,CAMIONETA,1924,1
CAUCA,TIMBIO,PARTICULAR,ACTIVO,MOTOCICLETA,1925,1
CUNDINAMARCA,FACATATIVA,PUBLICO,ACTIVO,CAMION,1925,1
ANTIOQUIA,SAN JERONIMO,PARTICULAR,ACTIVO,AUTOMOVIL,1926,2
CUNDINAMARCA,TENJO,PARTICULAR,ACTIVO,CAMION,1926,1
NORTE DE SANTANDER,CUCUTA,PARTICULAR,ACTIVO,MOTOCICLETA,1926,1
VALLE DEL CAUCA,GUADALAJARA DE BUGA,PARTICULAR,ACTIVO,CAMION,1926,1
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,AUTOMOVIL,1927,1
ANTIOQUIA,SAN JERONIMO,PARTICULAR,ACTIVO,AUTOMOVIL,1928,3
ANTIOQUIA,SAN JERONIMO,PARTICULAR,ACTIVO,CAMIONETA,1928,1
ATLANTICO,BARRANQUILLA,PARTICULAR,ACTIVO,AUTOMOVIL,1928,1
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,AUTOMOVIL,1928,6
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,CAMION,1928,1
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,CAMIONETA,1928,1
BOYACA,SABOYA,PARTICULAR,ACTIVO,CAMPERO,1928,1
CUNDINAMARCA,EL ROSAL,OFICIAL,ACTIVO,AUTOMOVIL,1928,1
MAGDALENA,SITIONUEVO,PARTICULAR,ACTIVO,AUTOMOVIL,1928,1
