DEPARTAMENTO,MUNICIPIO,CODIGO DANE,CLASE BIEN,FECHA HECHO,CANTIDAD
CESAR,VALLEDUPAR (CT),20001,MOTOCICLETA,2010-01-01,1
VALLE,TULUA,76834,MOTOCICLETA,2010-01-01,1
BOYACA,TUNJA (CT),15001,MOTOCICLETA,2010-01-01,1
CORDOBA,LORICA,23417,MOTOCICLETA,2010-01-01,1
RISARALDA,PEREIRA (CT),66001,MOTOCICLETA,2010-01-01,1
TOLIMA,IBAGUE (CT),73001,MOTOCICLETA,2010-01-01,1
CORDOBA,SAHAGUN,23660,MOTOCICLETA,2010-01-01,1
NORTE DE SANTANDER,OCANA,54498,MOTOCICLETA,2010-01-01,1
NARINO,IPIALES,52356,MOTOCICLETA,2010-01-01,1
ATLANTICO,MALAMBO,84330,MOTOCICLETA,2010-01-01,1
CORDOBA,LOS CORDOBAS,23419,MOTOCICLETA,2010-01-01,1
CORDOBA,MONTERIA (CT),23001,MOTOCICLETA,2010-01-01,1
CALDAS,MANIZALES (CT),17001,MOTOCICLETA,2010-01-01,1
RISARALDA,LA VIRGINIA,66400,MOTOCICLETA,2010-01-01,1
NARINO,PASTO (CT),52001,AUTOMOVIL,2010-01-01,1
CALDAS,MANIZALES (CT),17001,CAMIONETA,2010-01-01,1
BOGOTA,BOGOTA D.C. (CT),11001,CAMIONETA,2010-01-01,1
ANTIOQUIA,BELLO,50880,AUTOMOVIL,2010-01-01,1
ANTIOQUIA,BELLO,50880,CAMION,2010-01-01,1
CALDAS,MANIZALES (CT),17001,MOTOCICLETA,2010-01-02,1
NARINO,GUAITARILLA,52320,MOTOCICLETA,2010-01-02,1
ANTIOQUIA,MEDELLIN (CT),50010,MOTOCICLETA,2010-01-02,1
ARAUCA,SARAVENA,81736,MOTOCICLETA,2010-01-02,1
ATLANTICO,MALAMBO,84330,MOTOCICLETA,2010-01-02,1
NARINO,PASTO (CT),52001,MOTOCICLETA,2010-01-02,1
SANTANDER,FLORIDABLANCA,68276,MOTOCICLETA,2010-01-02,1
BOLIVAR,SANTA ROSA DEL SUR,13688,MOTOCICLETA,2010-01-02,1
VALLE,GUADALAJARA DE BUGA,76111,MOTOCICLETA,2010-01-02,1
ANTIOQUIA,MEDELLIN (CT),50010,MOTOCICLETA,2010-01-02,1
BOLIVAR,SAN JUAN NEPOMUCENO,13657,MOTOCICLETA,2010-01-02,1
BOGOTA,BOGOTA D.C. (CT),11001,MOTOCICLETA,2010-01-02,1
TOLIMA,IBAGUE (CT),73001,MOTOCICLETA,2010-01-02,1
META,SAN JUAN DE ARAMA,50683,MOTOCICLETA,2010-01-02,1
VALLE,CALI (CT),76001,AUTOMOVIL,2010-01-02,1
ANTIOQUIA,SABANETA,56310,AUTOMOVIL,2010-01-02,1
ANTIOQUIA,MEDELLIN (CT),50010,AUTOMOVIL,2010-01-02,1
VALLE,TULUA,76834,VOLQUETA,2010-01-02,1
SANTANDER,TONA,68820,CAMPERO,2010-01-02,1
CUNDINAMARCA,SOACHA,25754,CAMPERO,2010-01-02,1
CAUCA,SANTANDER DE QUILICHAO,19698,TRACTO CAMION,2010-01-02,1
ANTIOQUIA,MEDELLIN (CT),50010,TAXI,2010-01-02,1
CUNDINAMARCA,MADRID,25430,AUTOMOVIL,2010-01-02,1
CESAR,VALLEDUPAR (CT),20001,MOTOCICLETA,2010-01-03,1
VALLE,PRADERA,76563,MOTOCICLETA,2010-01-03,1
BOLIVAR,EL CARMEN DE BOLIVAR,13244,MOTOCICLETA,2010-01-03,1
HUILA,PITALITO,41551,MOTOCICLETA,2010-01-03,1
VALLE,GUADALAJARA DE BUGA,76111,MOTOCICLETA,2010-01-03,1
VALLE,JAMUNDI,76364,MOTOCICLETA,2010-01-03,1
NORTE DE SANTANDER,CUCUTA (CT),54001,MOTOCICLETA,2010-01-03,1
CUNDINAMARCA,SOACHA,25754,MOTOCICLETA,2010-01-03,1
NARINO,IPIALES,52356,MOTOCICLETA,2010-01-03,1
VALLE,CALI (CT),76001,MOTOCICLETA,2010-01-03,1
HUILA,LA PLATA,41396,MOTOCICLETA,2010-01-03,1
RISARALDA,DOSQUEBRADAS,66170,MOTOCICLETA,2010-01-03,1
NARINO,PASTO (CT),52001,MOTOCICLETA,2010-01-03,1
NARINO,PASTO (CT),52001,AUTOMOVIL,2010-01-03,1
ANTIOQUIA,YARUMAL,58870,CAMION,2010-01-03,1
VALLE,PALMIRA,76520,AUTOMOVIL,2010-01-03,1
NORTE DE SANTANDER,CUCUTA (CT),54001,AUTOMOVIL,2010-01-03,1
ANTIOQUIA,BELLO,50880,CAMIONETA,2010-01-03,1
CUNDINAMARCA,FUSAGASUGA,25290,CAMION,2010-01-03,1
