CONJUNTO,PASO,DESCRIPCION,REGISTROS_INICIALES,REGISTROS_FINALES,REGISTROS_DESCARTADOS
RUNT,DUPLICADOS,Eliminación de duplicados exactos.,191640,191640,0
RUNT,NORMALIZACION,"Normalización de textos: mayúsculas, espacios y eliminación de tildes.",191640,191640,0
RUNT,CATEGORIAS_ESTADO,Se conservaron únicamente los registros con estado ACTIVO. Los registros INCONSISTENTE no se utilizan para representar vehículos registrados.,191640,182978,8662
RUNT,FECHAS,Conversión de FECHA DE REGISTRO a formato numérico. Se conservaron los 48 registros con año 1900 para su posterior revisión.,182978,182978,0
RUNT,VALORES_CANTIDAD,Conversión de CANTIDAD a numérico y eliminación únicamente de valores nulos o menores o iguales a cero.,182978,182978,0
RUNT,ATIPICOS,Se detectaron 28797 posibles valores atípicos mediante IQR. No se eliminaron porque CANTIDAD representa cantidades agregadas y deben evaluarse según el contexto.,182978,182978,0
RUNT,COLUMNAS_INFORMATIVAS,Se eliminaron MES DE PUBLICACION y AÑO DE PUBLICACIÓN porque no representan el año de análisis de los vehículos.,182978,182978,0
HURTO,DUPLICADOS,Eliminación de duplicados exactos.,386071,386071,0
HURTO,NORMALIZACION,"Normalización de departamentos, municipios, tipo de delito y zona.",386071,386071,0
HURTO,FECHAS,Conversión de FECHA HECHO a formato fecha utilizando interpretación día/mes/año.,386071,386071,0
HURTO,VALORES_CANTIDAD,Conversión de CANTIDAD a numérico y eliminación únicamente de valores nulos o menores o iguales a cero.,386071,386071,0
HURTO,ATIPICOS,Se detectaron 45635 posibles valores atípicos mediante IQR. No se eliminaron automáticamente.,386071,386071,0
RECUPERACION,DUPLICADOS,Eliminación de duplicados exactos.,286258,213670,72588
RECUPERACION,NORMALIZACION,"Normalización de departamentos, municipios y clase del bien.",213670,213670,0
RECUPERACION,FECHAS,Conversión de FECHA HECHO a formato fecha utilizando interpretación día/mes/año.,213670,213670,0
RECUPERACION,CODIGO_DANE,Normalización del código DANE conservándolo como texto.,213670,213670,0
RECUPERACION,VALORES_CANTIDAD,Conversión de CANTIDAD a numérico y eliminación únicamente de valores nulos o menores o iguales a cero.,213670,213668,2
RECUPERACION,ATIPICOS,Se detectaron 38 posibles valores atípicos mediante IQR. No se eliminaron automáticamente.,213668,213668,0
