DEPARTAMENTO,MUNICIPIO,CODIGO DANE,CLASE BIEN,FECHA HECHO,CANTIDAD,TIPO_VEHICULO,AÑO,CODIGO_DANE_MUNICIPIO
CESAR,VALLEDUPAR (CT),20001,MOTOCICLETA,2010-01-01,1,MOTOCICLETA,2010,20001
VALLE,TULUA,76834,MOTOCICLETA,2010-01-01,1,MOTOCICLETA,2010,76834
BOYACA,TUNJA (CT),15001,MOTOCICLETA,2010-01-01,1,MOTOCICLETA,2010,15001
CORDOBA,LORICA,23417,MOTOCICLETA,2010-01-01,1,MOTOCICLETA,2010,23417
RISARALDA,PEREIRA (CT),66001,MOTOCICLETA,2010-01-01,1,MOTOCICLETA,2010,66001
TOLIMA,IBAGUE (CT),73001,MOTOCICLETA,2010-01-01,1,MOTOCICLETA,2010,73001
CORDOBA,SAHAGUN,23660,MOTOCICLETA,2010-01-01,1,MOTOCICLETA,2010,23660
NORTE DE SANTANDER,OCANA,54498,MOTOCICLETA,2010-01-01,1,MOTOCICLETA,2010,54498
NARINO,IPIALES,52356,MOTOCICLETA,2010-01-01,1,MOTOCICLETA,2010,52356
ATLANTICO,MALAMBO,84330,MOTOCICLETA,2010-01-01,1,MOTOCICLETA,2010,84330
CORDOBA,LOS CORDOBAS,23419,MOTOCICLETA,2010-01-01,1,MOTOCICLETA,2010,23419
CORDOBA,MONTERIA (CT),23001,MOTOCICLETA,2010-01-01,1,MOTOCICLETA,2010,23001
CALDAS,MANIZALES (CT),17001,MOTOCICLETA,2010-01-01,1,MOTOCICLETA,2010,17001
RISARALDA,LA VIRGINIA,66400,MOTOCICLETA,2010-01-01,1,MOTOCICLETA,2010,66400
NARINO,PASTO (CT),52001,AUTOMOVIL,2010-01-01,1,AUTOMOTOR,2010,52001
CALDAS,MANIZALES (CT),17001,CAMIONETA,2010-01-01,1,AUTOMOTOR,2010,17001
BOGOTA,BOGOTA D.C. (CT),11001,CAMIONETA,2010-01-01,1,AUTOMOTOR,2010,11001
ANTIOQUIA,BELLO,50880,AUTOMOVIL,2010-01-01,1,AUTOMOTOR,2010,50880
