CLASE_RUNT,REGISTROS
TRACTOCAMION,6812
MOTOCARRO,6292
SEMIREMOLQUE,2662
CUATRIMOTO,2559
MAQ. AGRICOLA,1514
MAQ. INDUSTRIAL,1416
RETROEXCAVADORA,1385
EXCAVADORA,1273
TRACTOR,1217
CICLOMOTOR,1078
MINICARGADOR,1018
CARGADOR,856
MOTONIVELADORA,722
BULDOZER,722
MONTACARGAS,710
VIBROCOMPACTADORA,688
REMOLQUE,613
MINI EXCAVADORA,489
RETROCARGADOR,441
MOTOTRICICLO,428
COSECHADORA,361
COMPACTADOR,345
CUADRICICLO,306
GRUA,269
AUTOHORMIGONERA,229
PERFORADORA,174
PAVIMENTADORA,167
MANIPULADOR TELESCOPICO,166
TRICIMOTO,165
TRACTOR SOBRE ORUGA,129
PLATAFORMA DE ELEVACION,127
CAMION GRUA,123
DUMPER (VOLQUETA ARTICULADA),123
CARRETILLA ELEVADORA,114
CARGADORA FRONTAL,94
PILOTEADORA,94
FRESADORA,91
APLANADORA,81
MINI RETROEXCAVADORA,81
TRITURADORA,72
CARRETILLA APILADORA,65
SIN CLASE,52
GATOR,47
APILADOR,45
CRIBAS,44
TALADRO PERFORACION POZO PETROLERO,44
TALADRO,38
ALZADORA DE CANA,37
MAQUINA BARREDORA,36
BARREDORA,31
JUMBO DE PERFORACION,26
RECICLADORA,24
PALA DRAGA,22
ZANJADORA,18
PULVERIZADOR AGRICOLA,18
MANIPULADOR CARGADOR TELESCOPICO,15
FINICHER,15
VOLCO,14
HORMIGONERA PARA TUNELES,12
DRAGA,12
TRANSPLANTADORA,10
PALA FRONTAL,8
FUMIGADORA,7
RECICLADORA DE PAVIMENTOS,7
MOTOTRAILLA,6
VOLQUETA SOBRE ORUGA,6
CORTADORA,5
ABONADORA,5
PERFILADORA DE PAVIMENTO EN FRIO,4
UTILERO,4
IRRIGADOR,3
EQUIPO DE DEMOLICION,3
PLANTA DE ASFALTO CONTRAFLUJO,3
DISTRIBUIDOR AUTOPROPELIDO DE FERTILIZANTES,3
COMPOSTADORA,3
PENETROMETRO AUTOPROPULSADO,2
PRENSA HIDRAULICA,2
CAMION CISTERNA,2
CAMION TIJERA,2
CAMION CARGA EXTENSA,2
CAMBIADORA DE RIEL,2
RECICLADORA DE LODO,2
FERTILIZADORA,1
CAMION DE RESCATE,1
CAMION ESCALERA,1
MAQUINA TRAZADORA,1
CAMION ESTERIL,1
MAQ. CONSTRUCCION O MINERA,1
