AÑO,CODIGO_DANE_MUNICIPIO,DEPARTAMENTO,MUNICIPIO,TIPO_VEHICULO,VEHICULOS_REGISTRADOS,VEHICULOS_HURTADOS,VEHICULOS_RECUPERADOS
1900,05034,ANTIOQUIA,ANDES,AUTOMOTOR,1.0,0.0,0.0
1900,08078,ATLANTICO,BARANOA,AUTOMOTOR,2.0,0.0,0.0
1900,13001,BOLIVAR,CARTAGENA DE INDIAS,AUTOMOTOR,2.0,0.0,0.0
1900,13683,BOLIVAR,SANTA ROSA,AUTOMOTOR,1.0,0.0,0.0
1900,15204,BOYACA,COMBITA,AUTOMOTOR,1.0,0.0,0.0
1900,15753,BOYACA,SOATA,MOTOCICLETA,1.0,0.0,0.0
1900,17001,CALDAS,MANIZALES,AUTOMOTOR,2.0,0.0,0.0
1900,17174,CALDAS,CHINCHINA,AUTOMOTOR,1.0,0.0,0.0
1900,17653,CALDAS,SALAMINA,AUTOMOTOR,32.0,0.0,0.0
1900,17653,CALDAS,SALAMINA,MOTOCICLETA,4.0,0.0,0.0
1900,17873,CALDAS,VILLAMARIA,AUTOMOTOR,2.0,0.0,0.0
1900,18094,CAQUETA,BELEN DE LOS ANDAQUIES,AUTOMOTOR,1.0,0.0,0.0
1900,19001,CAUCA,POPAYAN,AUTOMOTOR,1.0,0.0,0.0
1900,19807,CAUCA,TIMBIO,AUTOMOTOR,1.0,0.0,0.0
1900,25430,CUNDINAMARCA,MADRID,AUTOMOTOR,1.0,0.0,0.0
1900,25736,CUNDINAMARCA,SESQUILE,MOTOCICLETA,1.0,0.0,0.0
1900,25799,CUNDINAMARCA,TENJO,AUTOMOTOR,1.0,0.0,0.0
1900,50318,META,GUAMAL,AUTOMOTOR,1.0,0.0,0.0
1900,50340,ANTIOQUIA,ANDES,AUTOMOTOR,1.0,0.0,0.0
1900,50606,META,RESTREPO,AUTOMOTOR,1.0,0.0,0.0
1900,50606,META,RESTREPO,MOTOCICLETA,1.0,0.0,0.0
1900,54001,NORTE DE SANTANDER,CUCUTA,MOTOCICLETA,2.0,0.0,0.0
1900,54261,NORTE DE SANTANDER,EL ZULIA,AUTOMOTOR,2.0,0.0,0.0
1900,54261,NORTE DE SANTANDER,EL ZULIA,MOTOCICLETA,2.0,0.0,0.0
1900,63190,QUINDIO,CIRCASIA,MOTOCICLETA,1.0,0.0,0.0
1900,68001,SANTANDER,BUCARAMANGA,AUTOMOTOR,1.0,0.0,0.0
1900,68081,SANTANDER,BARRANCABERMEJA,AUTOMOTOR,1.0,0.0,0.0
1900,70670,SUCRE,SAMPUES,AUTOMOTOR,1.0,0.0,0.0
1900,73001,TOLIMA,IBAGUE,AUTOMOTOR,2.0,0.0,0.0
1900,76318,VALLE DEL CAUCA,GUACARI,AUTOMOTOR,1.0,0.0,0.0
1900,80780,ATLANTICO,BARANOA,AUTOMOTOR,2.0,0.0,0.0
1901,05266,ANTIOQUIA,ENVIGADO,AUTOMOTOR,1.0,0.0,0.0
1901,08078,ATLANTICO,BARANOA,AUTOMOTOR,3.0,0.0,0.0
1901,08078,ATLANTICO,BARANOA,MOTOCICLETA,1.0,0.0,0.0
1901,13683,BOLIVAR,SANTA ROSA,AUTOMOTOR,2.0,0.0,0.0
1901,13836,BOLIVAR,TURBACO,AUTOMOTOR,1.0,0.0,0.0
1901,19532,CAUCA,PATIA,AUTOMOTOR,1.0,0.0,0.0
1901,19698,CAUCA,SANTANDER DE QUILICHAO,AUTOMOTOR,1.0,0.0,0.0
1901,19807,CAUCA,TIMBIO,AUTOMOTOR,1.0,0.0,0.0
1901,20011,CESAR,AGUACHICA,AUTOMOTOR,1.0,0.0,0.0
1901,20011,CESAR,AGUACHICA,MOTOCICLETA,2.0,0.0,0.0
1901,25307,CUNDINAMARCA,GIRARDOT,AUTOMOTOR,1.0,0.0,0.0
1901,25799,CUNDINAMARCA,TENJO,AUTOMOTOR,1.0,0.0,0.0
1901,25899,CUNDINAMARCA,ZIPAQUIRA,AUTOMOTOR,1.0,0.0,0.0
1901,41615,HUILA,RIVERA,AUTOMOTOR,1.0,0.0,0.0
1901,47288,MAGDALENA,FUNDACION,AUTOMOTOR,1.0,0.0,0.0
1901,50606,META,RESTREPO,AUTOMOTOR,1.0,0.0,0.0
1901,52660,ANTIOQUIA,ENVIGADO,AUTOMOTOR,1.0,0.0,0.0
1901,54001,NORTE DE SANTANDER,CUCUTA,AUTOMOTOR,162.0,0.0,0.0
1901,54001,NORTE DE SANTANDER,CUCUTA,MOTOCICLETA,272.0,0.0,0.0
1901,66001,RISARALDA,PEREIRA,MOTOCICLETA,1.0,0.0,0.0
1901,68001,SANTANDER,BUCARAMANGA,MOTOCICLETA,9.0,0.0,0.0
1901,68077,SANTANDER,BARBOSA,AUTOMOTOR,3.0,0.0,0.0
1901,68276,SANTANDER,FLORIDABLANCA,AUTOMOTOR,3.0,0.0,0.0
1901,68276,SANTANDER,FLORIDABLANCA,MOTOCICLETA,1.0,0.0,0.0
1901,68307,SANTANDER,GIRON,MOTOCICLETA,1.0,0.0,0.0
1901,68755,SANTANDER,SOCORRO,AUTOMOTOR,1.0,0.0,0.0
1901,73001,TOLIMA,IBAGUE,AUTOMOTOR,1.0,0.0,0.0
1901,76001,VALLE DEL CAUCA,CALI,MOTOCICLETA,1.0,0.0,0.0
1901,76834,VALLE DEL CAUCA,TULUA,MOTOCICLETA,1.0,0.0,0.0
1901,80780,ATLANTICO,BARANOA,AUTOMOTOR,3.0,0.0,0.0
1901,80780,ATLANTICO,BARANOA,MOTOCICLETA,1.0,0.0,0.0
1901,86568,PUTUMAYO,PUERTO ASIS,MOTOCICLETA,1.0,0.0,0.0
1902,13683,BOLIVAR,SANTA ROSA,AUTOMOTOR,1.0,0.0,0.0
1902,17653,CALDAS,SALAMINA,MOTOCICLETA,1.0,0.0,0.0
1902,76895,VALLE DEL CAUCA,ZARZAL,MOTOCICLETA,1.0,0.0,0.0
1903,47745,MAGDALENA,SITIONUEVO,MOTOCICLETA,1.0,0.0,0.0
1903,54001,NORTE DE SANTANDER,CUCUTA,AUTOMOTOR,2.0,0.0,0.0
1904,17653,CALDAS,SALAMINA,MOTOCICLETA,1.0,0.0,0.0
1904,23350,CORDOBA,LA APARTADA,MOTOCICLETA,1.0,0.0,0.0
1904,54001,NORTE DE SANTANDER,CUCUTA,AUTOMOTOR,1.0,0.0,0.0
1904,68081,SANTANDER,BARRANCABERMEJA,MOTOCICLETA,1.0,0.0,0.0
1904,68755,SANTANDER,SOCORRO,MOTOCICLETA,1.0,0.0,0.0
1905,05266,ANTIOQUIA,ENVIGADO,AUTOMOTOR,2.0,0.0,0.0
1905,15491,BOYACA,NOBSA,AUTOMOTOR,1.0,0.0,0.0
1905,19807,CAUCA,TIMBIO,AUTOMOTOR,7.0,0.0,0.0
1905,19807,CAUCA,TIMBIO,MOTOCICLETA,3.0,0.0,0.0
1905,41807,HUILA,TIMANA,AUTOMOTOR,1.0,0.0,0.0
1905,52660,ANTIOQUIA,ENVIGADO,AUTOMOTOR,2.0,0.0,0.0
1905,54001,NORTE DE SANTANDER,CUCUTA,MOTOCICLETA,1.0,0.0,0.0
1905,54261,NORTE DE SANTANDER,EL ZULIA,MOTOCICLETA,1.0,0.0,0.0
1905,68081,SANTANDER,BARRANCABERMEJA,MOTOCICLETA,1.0,0.0,0.0
1906,15322,BOYACA,GUATEQUE,AUTOMOTOR,1.0,0.0,0.0
1906,54001,NORTE DE SANTANDER,CUCUTA,AUTOMOTOR,1.0,0.0,0.0
1906,54001,NORTE DE SANTANDER,CUCUTA,MOTOCICLETA,1.0,0.0,0.0
1907,15299,BOYACA,GARAGOA,AUTOMOTOR,1.0,0.0,0.0
1907,50001,META,VILLAVICENCIO,MOTOCICLETA,1.0,0.0,0.0
1907,66001,RISARALDA,PEREIRA,AUTOMOTOR,1.0,0.0,0.0
1907,68081,SANTANDER,BARRANCABERMEJA,AUTOMOTOR,1.0,0.0,0.0
1907,68081,SANTANDER,BARRANCABERMEJA,MOTOCICLETA,1.0,0.0,0.0
1908,08078,ATLANTICO,BARANOA,AUTOMOTOR,1.0,0.0,0.0
1908,13683,BOLIVAR,SANTA ROSA,AUTOMOTOR,1.0,0.0,0.0
1908,20011,CESAR,AGUACHICA,MOTOCICLETA,1.0,0.0,0.0
1908,66001,RISARALDA,PEREIRA,AUTOMOTOR,1.0,0.0,0.0
1908,68081,SANTANDER,BARRANCABERMEJA,AUTOMOTOR,2.0,0.0,0.0
1908,80780,ATLANTICO,BARANOA,AUTOMOTOR,1.0,0.0,0.0
1909,08078,ATLANTICO,BARANOA,AUTOMOTOR,1.0,0.0,0.0
1909,13683,BOLIVAR,SANTA ROSA,AUTOMOTOR,1.0,0.0,0.0
1909,17001,CALDAS,MANIZALES,AUTOMOTOR,1.0,0.0,0.0
1909,54001,NORTE DE SANTANDER,CUCUTA,MOTOCICLETA,2.0,0.0,0.0
1909,63190,QUINDIO,CIRCASIA,MOTOCICLETA,1.0,0.0,0.0
1909,66001,RISARALDA,PEREIRA,AUTOMOTOR,1.0,0.0,0.0
1909,68001,SANTANDER,BUCARAMANGA,AUTOMOTOR,1.0,0.0,0.0
1909,68081,SANTANDER,BARRANCABERMEJA,MOTOCICLETA,1.0,0.0,0.0
1909,80780,ATLANTICO,BARANOA,AUTOMOTOR,1.0,0.0,0.0
1910,08078,ATLANTICO,BARANOA,MOTOCICLETA,1.0,0.0,0.0
1910,15632,BOYACA,SABOYA,MOTOCICLETA,1.0,0.0,0.0
1910,47745,MAGDALENA,SITIONUEVO,MOTOCICLETA,1.0,0.0,0.0
1910,52788,NARINO,TANGUA,AUTOMOTOR,1.0,0.0,0.0
